program,type,directed,batch,nodes,modifier,diameter,time,clocktime,system,percent,memory,voluntary,involuntary,faults,exit
gtp,er,1,0,10,8,2.0,0.000295162200928,0.00029,0.17,99%,63124,48,165,0,0
glp,er,1,0,10,8,2,0.148037,5.74887,0.53,1638%,25112,6982,2281,0,0
snp,er,1,0,10,8,1,0.000120162963867,0.000133,0.03,93%,31596,2,5,0,0
nx,er,0,1,10,8,,,,0.43,49%,26240,135,81,0,1
gl,er,0,1,10,8,0,0.081421,4.90398,0.15,1188%,27768,1056,643,0,0
gtp,er,0,1,10,8,,,,0.15,77%,62648,50,180,0,0
glp,er,0,1,10,8,0,1.55538,89.0235,2.36,4092%,25912,63828,51488,0,0
nx,er,1,1,10,8,2,0.000260829925537,0.000261,0.16,93%,26404,14,45,0,0
gl,er,1,1,10,8,2,0.153494,2.11223,0.48,863%,20152,7414,899,0,0
gtp,er,1,1,10,8,2.0,0.000328063964844,0.000324,0.17,99%,63120,50,144,0,0
glp,er,1,1,10,8,2,0.155681,5.51024,0.30,1574%,24060,7469,2902,0,0
snp,er,1,1,10,8,2,0.000117063522339,0.000132,0.03,94%,31596,2,5,0,0
nx,er,0,2,10,8,,,,0.49,60%,26240,107,70,0,1
gl,er,0,2,10,8,0,0.07191,4.79915,0.32,1081%,25728,845,596,0,0
gtp,er,0,2,10,8,,,,0.14,77%,62652,55,148,0,0
glp,er,0,2,10,8,0,2.01028,110.117,2.96,4289%,22000,64567,49909,0,0
nx,er,1,2,10,8,2,0.000400066375732,0.000389,0.12,65%,26404,13,52,5,0
gl,er,1,2,10,8,2,0.136355,2.98758,0.24,1444%,20336,7334,1295,0,0
gtp,er,1,2,10,8,2.0,0.000283002853394,0.000281,0.13,99%,63128,42,140,0,0
glp,er,1,2,10,8,2,0.1735,6.13566,0.42,1579%,22156,7290,2756,0,0
snp,er,1,2,10,8,1,0.000102996826172,0.000116,0.03,93%,31596,2,5,0,0
nx,er,0,3,10,8,,,,0.51,58%,26244,101,48,0,1
gl,er,0,3,10,8,0,0.057642,4.64966,0.32,1198%,19620,1044,678,0,0
gtp,er,0,3,10,8,,,,0.15,78%,62652,57,111,0,0
glp,er,0,3,10,8,0,1.93879,108.467,2.30,4421%,26032,63486,48803,0,0
nx,er,1,3,10,8,2,0.000259876251221,0.000256,0.10,72%,26412,24,15,0,0
gl,er,1,3,10,8,2,0.124953,2.40627,0.28,1121%,21996,7185,1359,0,0
gtp,er,1,3,10,8,2.0,0.000288009643555,0.000286,0.16,99%,63128,51,179,0,0
glp,er,1,3,10,8,2,0.16526,5.3657,0.36,1754%,20372,7275,2626,0,0
snp,er,1,3,10,8,2,0.000104904174805,0.000119,0.02,96%,31596,2,5,0,0
nx,er,0,4,10,8,,,,0.36,57%,26240,106,33,0,1
gl,er,0,4,10,8,0,0.010846,0.684783,0.34,673%,23700,988,585,0,0
gtp,er,0,4,10,8,,,,0.16,77%,62652,44,104,0,0
glp,er,0,4,10,8,0,1.52661,87.4228,2.74,4152%,20704,63637,50653,0,0
nx,er,1,4,10,8,2,0.00034499168396,0.000342,0.14,98%,26408,11,28,0,0
gl,er,1,4,10,8,2,0.1593,2.47657,0.36,1309%,36500,7367,1117,0,0
gtp,er,1,4,10,8,2.0,0.000282049179077,0.000279,0.14,99%,63128,49,176,0,0
glp,er,1,4,10,8,2,0.168627,6.29465,0.32,1839%,24324,6871,2290,0,0
snp,er,1,4,10,8,1,0.000113010406494,0.000127,0.04,96%,31592,2,14,0,0
nx,er,0,0,10,16,,,,0.50,66%,26244,87,63,0,1
gl,er,0,0,10,16,0,0.064248,5.3974,0.15,1220%,21560,1050,668,0,0
gtp,er,0,0,10,16,,,,0.16,77%,62652,45,146,0,0
glp,er,0,0,10,16,0,2.25297,121.422,2.91,4261%,21816,65312,49901,0,0
nx,er,1,0,10,16,,,,0.42,53%,26240,124,58,0,1
